,Item_1,Item_1,Item_2,Item_2,Item_3,Item_3,Item_4,Item_4,Item_5,Item_5,Item_6,Item_6,Item_7,Item_7,Item_8,Item_8,Threshold 1,Threshold 1,Threshold 2,Threshold 2,Threshold 3,Threshold 3,Threshold 4,Threshold 4,Threshold 5,Threshold 5,Overall statistics,Overall statistics,Overall statistics
,Estimate,SE,Estimate,SE,Estimate,SE,Estimate,SE,Estimate,SE,Estimate,SE,Estimate,SE,Estimate,SE,Estimate,SE,Estimate,SE,Estimate,SE,Estimate,SE,Estimate,SE,Count,Infit MS,Outfit MS
Rater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rater_1,0.149,0.189,0.122,0.285,-0.263,0.123,-0.319,0.137,0.012,0.181,-0.427,0.139,-0.378,0.123,0.105,0.176,0.624,0.139,0.539,0.124,0.053,0.087,-0.386,0.165,-0.83,0.153,1600.0,0.875,0.881
Rater_2,0.2,0.203,-0.177,0.261,-0.314,0.121,-0.246,0.158,0.3,0.215,-0.131,0.132,-0.268,0.146,0.488,0.245,0.486,0.142,0.564,0.117,0.006,0.083,-0.386,0.156,-0.67,0.146,1600.0,0.905,0.916
Rater_3,0.209,0.196,-0.04,0.183,-0.258,0.128,-0.05,0.165,0.052,0.228,-0.166,0.142,-0.344,0.148,-0.041,0.241,0.578,0.128,0.614,0.111,0.046,0.09,-0.417,0.182,-0.821,0.194,1600.0,0.941,0.952
Rater_4,0.064,0.21,-0.192,0.266,-0.271,0.139,-0.07,0.135,0.046,0.204,-0.118,0.151,-0.714,0.145,0.058,0.175,0.649,0.124,0.554,0.108,0.107,0.093,-0.485,0.173,-0.826,0.152,1600.0,0.883,0.885
Rater_5,0.023,0.172,0.583,0.373,0.473,0.204,0.526,0.172,-0.009,0.223,0.227,0.188,0.484,0.119,0.192,0.191,-0.313,0.205,-0.655,0.131,-0.321,0.093,0.489,0.171,0.8,0.161,1600.0,0.931,0.926
Rater_6,-0.342,0.294,-0.274,0.281,0.06,0.241,0.226,0.206,0.15,0.188,0.454,0.211,0.483,0.151,-0.31,0.197,-0.705,0.204,-0.633,0.175,0.058,0.105,0.339,0.199,0.942,0.212,1600.0,0.957,0.961
Rater_7,-0.158,0.217,-0.131,0.263,0.258,0.128,0.062,0.256,-0.085,0.259,0.2,0.2,0.458,0.13,-0.587,0.257,-0.361,0.17,-0.311,0.15,0.002,0.101,0.291,0.173,0.378,0.194,1600.0,0.916,0.912
Rater_8,-0.144,0.199,0.109,0.221,0.315,0.143,-0.129,0.251,-0.465,0.19,-0.04,0.256,0.279,0.17,0.096,0.289,-0.958,0.135,-0.671,0.178,0.049,0.09,0.555,0.175,1.026,0.192,1600.0,0.909,0.905
